,id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
45,1122780024489353216,#pazartesi ilk defa görmüş gibi davranmayın herzaman oluyor sendroma gerek yok,2019-04-29 08:29:52,0,melek82667307,18,,"[{'text': 'pazartesi', 'indices': [0, 10]}]"
46,1122780014796316672,"RT @ceyhan_ulus: Temel Karamollaoğlu'na göre;
Hızlı Tren,
Çamlıca Camii,
Açılan üniversiteler Gereksiz, İsrafmış!
CHP'ye fayda sağlamaktan…",2019-04-29 08:29:50,22,selimDUZENLI,197,istanbul,[]
47,1122780006147600384,RT @olayurfa: Facebook önemli bir değişiklik için adım attı https://t.co/GduywElatq #Alanyaspor  #KutülAmare  #pazartesi  #havadurumu  #Osm…,2019-04-29 08:29:48,3,CelalCiftci_GYC,8557,,"[{'text': 'Alanyaspor', 'indices': [84, 95]}, {'text': 'KutülAmare', 'indices': [97, 108]}, {'text': 'pazartesi', 'indices': [110, 120]}, {'text': 'havadurumu', 'indices': [122, 133]}]"
48,1122779996232343552,"RT @kupadacay: Her yeni güne yeni bir Umut ile uyanın,
benim gibi sabahın çay’ında Hayat bulanlar
Gününüz Aydın olsun..🍀
#pazartesi https:/…",2019-04-29 08:29:46,3,kupadacay,13223,İzmir,"[{'text': 'pazartesi', 'indices': [121, 131]}]"
49,1122779992507781121,"RT @35OzNuR25: Yarattığın Herşeyin Dünya Ve Ahiretteki Şerrinden
Eûzü Billah...
Alıp verdiğim Her Nefese,Her Güne Her İşime Bismillah...
Ve…",2019-04-29 08:29:45,17,AhmetGk83219015,18,,[]
50,1122779989961793536,"Dokunmadan Sevende Var ,

Dokunmak İçin Sevende . . . !

#pazartesi",2019-04-29 08:29:44,0,ZcelikM,256,Ahiret,"[{'text': 'pazartesi', 'indices': [57, 67]}]"
51,1122779986912514049,"Siz erken kalkmadınız, ben geç uyandım.
#pazartesi",2019-04-29 08:29:43,0,birvarhepyok,116,"İstanbul, Türkiye","[{'text': 'pazartesi', 'indices': [40, 50]}]"
52,1122779984588890112,"Yeni hafta mutluluk dolsun 😉
#kahtaçigköfte #lezzet #kalite #çiğkofte #çiğköftebayilik #çiğköfte #bayilik #gülümse… https://t.co/PUHgPDGjfv",2019-04-29 08:29:43,0,Kahta_Cigkofte,1442,Türkiye,"[{'text': 'kahtaçigköfte', 'indices': [29, 43]}, {'text': 'lezzet', 'indices': [44, 51]}, {'text': 'kalite', 'indices': [52, 59]}, {'text': 'çiğkofte', 'indices': [60, 69]}, {'text': 'çiğköftebayilik', 'indices': [70, 86]}, {'text': 'çiğköfte', 'indices': [87, 96]}, {'text': 'bayilik', 'indices': [97, 105]}, {'text': 'gülümse', 'indices': [106, 114]}]"
53,1122779977877946368,"@ceyhunirgil Günaydııınnn Sn. Vekilim değerli doktorum Ceyhun İrgil Bey, Biliyorsun ki ben masumum hakim bey demek… https://t.co/KUranVVqG3",2019-04-29 08:29:41,0,Haticey_y,122,Rize/ Turkey,[]
54,1122779957095276544,RT @isbakas: Hayırlı Haftalar #pazartesi https://t.co/URPVFn42Y7,2019-04-29 08:29:36,4,halil_cetinbas,108,,"[{'text': 'pazartesi', 'indices': [30, 40]}]"
55,1122779935440031745,Pazarda kalanlar 🙆‍♀️ #pazartesi https://t.co/jFN15LXxnH,2019-04-29 08:29:31,0,grkntugba,31,,"[{'text': 'pazartesi', 'indices': [22, 32]}]"
